item_id;vectors
10;-0.15205425|0.18007873|-0.1393023|0.058555335|-0.070437804|0.08655427|0.15039583|0.024480807|0.084486686|0.0025129484|-0.0021245012|0.1026859|-0.17651743|0.027941436|-0.06028908|0.12449431|0.04094541|0.043167192|0.070856206|0.15833841|0.023341198|0.016128348|-0.100216836|-0.068845876|-0.16242743|0.110308506|0.049494185|0.020768456|-0.009047388|0.029560642|-0.13440712|0.074069135|0.008482118|-0.16557664|-0.06659985|-0.07653385|-0.0040481677|-0.011178096|0.17053026|0.055718657|0.037145834|-0.20112406|-0.12671956|-0.15975456|-0.048221853|-0.12715359|-0.21156242|-0.13150801|0.21435256|0.048859607|0.11959091|0.016174147|0.007338862|-0.10618604|-0.031281393|0.12561628|-0.1039485|-0.20830578|-0.072398484|0.057210203|0.0013885917|0.19024226|-0.1501939|0.062036265|-0.08069445|0.14131483|0.08642076|0.07565144|0.01963639|-0.05142846|-0.004294256|-0.050131194|0.059286|0.013809005|0.023862686|-0.035536803|-0.009135301|0.0029959327|0.029516056|-0.07228586|-0.041179985|0.11610624|0.050433446|-0.02913065|-0.015023772|-0.20456658|-0.06866455|0.07808995|0.1329194|0.032524172|-0.17276661|-0.10888093|0.11381509|-0.039435625|0.09287686|0.13453385|-0.01763976|0.00055406836|0.01349883|0.13170455
11;-0.04375836|0.038371827|-0.013586316|0.1323669|0.012222421|-0.03589485|-0.16153853|0.026208648|-0.036591914|0.025736207|-0.11160549|0.044051204|0.13196017|-0.15794238|-0.010368152|0.074571736|-0.26704913|0.1491343|0.04020834|-0.018162766|-0.018945316|-0.1873866|0.04746047|-0.029523998|0.0046704216|0.13306946|0.05434534|0.25611764|0.07723673|-0.21194988|0.018854862|0.046572573|-0.031569034|-0.004138467|0.0371767|0.00900921|-0.036134448|0.14254895|0.07596796|-0.028182022|-0.1510965|0.04617086|-0.145075|0.1274783|0.120820835|0.1816049|-0.22062838|-0.036903404|0.092056416|0.090959564|-0.04131753|0.057823107|-0.11146513|-0.044587616|0.03320913|-0.14349632|-0.025745297|-0.046951946|-0.04121142|0.0035675757|-0.010008666|0.03803474|0.10353917|0.005213708|0.25928256|-0.15230826|-0.047561944|-0.13357957|0.14637507|-0.01853898|-0.008910799|-0.010702506|-0.106158406|0.034829475|-0.06378347|0.026230136|0.018197278|0.23131597|-0.13652946|0.043706853|-0.20399591|0.015826076|0.10764919|0.009050795|-0.090603784|-0.2252594|0.14274731|-0.21037659|0.24501333|-0.1447079|0.031236585|0.10660275|-0.020079134|-0.018928606|0.03206849|-0.101012915|-0.043723196|-0.09646885|0.13587111|0.015704932
12;-0.06378449|-0.08675801|-0.0885388|0.05560817|0.08667234|0.09722289|0.01089312|0.0562052|0.18354096|0.078398235|-0.04103074|0.06635537|0.105892584|0.08580018|0.17170045|0.12928256|-0.080313124|-0.07138106|0.06280859|-0.17378488|-0.049231663|0.11368082|-0.1438095|0.085223384|0.25081614|-0.11257325|0.18695699|-0.020512009|-0.011396398|-0.0030957577|0.06909854|-0.11088116|0.170096|0.09805475|0.037331536|0.21145545|-0.09075832|0.032596916|-0.040297665|-0.18786411|0.030896042|-0.031897094|0.08176087|0.13272554|-0.08291899|-0.110277705|-0.05592688|0.15159556|-0.20751414|0.15846269|0.07208025|-0.0064072968|-0.06310881|0.09312121|-0.015744895|-0.18579857|0.09465231|-0.043408096|-0.11715036|-0.044445917|0.1152018|-0.01879059|-0.053521823|-0.08730483|-0.11545882|-0.043540023|-0.09009647|0.19161883|-0.018473508|0.058510326|-0.038833044|0.0685145|-0.068623364|-0.033175427|-0.10320187|-0.09137448|-0.07997248|-0.079893135|-0.044177487|0.09904028|-0.22539729|-0.07239223|-0.028844785|0.12026755|0.014987561|-0.14264251|-0.06543413|-0.1483255|-0.10798239|0.03069839|0.14318761|0.16445066|0.103565365|0.061195657|0.14643094|0.20607346|-0.018019058|0.030094853|-0.023172053|-0.04195212
13;0.29018408|0.22404316|-0.07629386|-0.008707856|-0.06452142|-0.09197783|-0.048217423|0.1594565|-0.19160783|0.009412713|-0.024831476|-0.12083438|0.14505245|-0.086447224|-0.23836362|0.100998305|0.052687664|-0.004666567|-0.122903526|-0.10638596|-0.14776705|0.032750167|-0.011088816|-0.04052852|0.003974913|-0.20785153|-0.13198632|0.06171714|-0.10410567|-0.041295443|0.04842722|-0.0137681225|-0.07254795|0.0638023|0.17552686|0.06425746|0.0337163|0.010018473|0.0658613|-0.08357939|-0.11190295|0.23779677|-0.107457|-0.12216138|-0.034731783|0.11569469|0.08288923|-0.10480585|-0.21815737|0.10599279|0.059165757|-0.07872763|0.06594816|-0.099442646|0.122333825|-0.082443826|0.054276742|0.06159947|-0.09828417|0.03992743|-0.1723821|-0.14550416|0.25416964|-0.063427836|0.17020585|-0.18584438|0.105936185|0.21096382|-0.24312907|-0.08409178|0.23681562|0.033618946|0.085428424|0.3488383|-0.2289189|-0.22048044|0.114160456|-0.12584925|0.037596483|0.15459438|0.03050537|0.14626335|0.058690626|-0.29456365|-0.116491534|0.034716893|-0.116372555|0.21137306|-0.013186716|-0.23768243|-0.031109646|-0.12111937|-0.0423391|0.122970775|0.20837642|-0.010287675|0.10909274|-0.08948965|0.103939526|-0.024920154
14;0.15174378|0.16652922|-0.06544973|-0.005856455|0.0053595747|0.21452418|-0.04123464|-0.085638635|-0.080345914|0.04844079|-0.52367663|-0.030879384|0.13639553|0.0015117612|0.3207584|-0.11887744|0.39489394|0.24906093|-0.15978009|-0.1034623|0.062545|-0.1867729|0.17780304|0.043876633|0.32971904|0.09885483|-0.077053145|-0.07014001|0.016647745|-0.14228736|0.05234128|0.07643652|-0.06908573|-0.09022281|-0.02330526|-0.14409189|0.08120423|0.024390856|-0.09404554|0.12517145|-0.1695628|-0.09780799|0.14087215|-0.29468632|-0.050001286|0.15705535|0.12508114|-0.19949442|-0.15752323|0.026228657|0.023152236|0.20131141|-0.39719447|-0.13498402|0.03598801|-0.027714722|-0.21978231|-0.073548265|-0.08438418|-0.281649|-0.061006285|-0.08267531|0.17899063|0.052812498|0.027012553|0.23485926|-0.14579085|0.14676653|0.025159141|0.007758965|0.0017196153|-0.29117954|0.08661021|-0.10027082|0.06242857|-0.11516753|-0.10730117|0.0982782|0.21286821|-0.22054979|-0.08880128|-0.017519817|0.013597509|0.005276265|0.05088066|-0.13565522|-0.26829284|0.21549681|-0.14726834|0.06336148|0.051538903|0.0057648257|-0.2237615|0.042457286|-0.050242323|-0.06257577|-0.22686836|0.058302626|0.03488769|-0.3531975
15;-0.033691205|-0.003474032|0.031990856|0.040273514|-0.0007876253|-0.11757694|-0.015458005|0.05522982|-0.010718118|-0.08112163|-0.18205953|0.036997683|-0.06633319|-0.001151879|-0.03507306|0.08620787|0.08352389|-0.077395685|-0.10916138|-0.119506516|0.09377631|0.06386434|0.03890345|-0.08057023|0.09247668|-0.067803524|-0.039531976|-0.0889195|0.04521144|-0.03790718|-0.0823572|0.061375|-0.009888519|0.05389491|0.12156842|0.09764827|-0.029075388|-0.04482916|-0.025284767|-0.049756337|0.02379646|-0.021019826|-0.039250366|0.022197638|0.029727416|-0.07287507|0.072414115|-0.032935746|0.02408138|-0.11115144|0.08594174|-0.0128500685|-0.029461276|0.02006097|0.050612163|0.12058183|0.11788224|0.057327293|0.054410677|0.04747948|0.06798701|0.064247675|-0.121315755|-0.11356297|0.0059182113|-0.13432285|0.15172833|-0.033807192|-0.03160131|0.13743289|0.075274736|-0.043993335|-0.08695033|-0.06213346|0.054628044|-0.07859994|-0.023553004|-0.03648372|-0.007225362|0.08384693|0.030384282|-0.004451598|-0.062472418|-0.021718925|-0.09982212|-0.022064354|-0.13271312|0.03339329|-0.13151659|0.033929754|-0.0730569|0.06489284|-0.07879837|-0.03476732|-0.14188379|-0.06477395|0.14479269|-0.24882558|0.08978839|-0.11748965
16;0.050461926|0.053173266|-0.12011262|0.12008684|-0.04472609|-0.01296522|-0.012229347|0.025775393|-0.010735576|-0.0830962|0.05044183|0.0065327897|0.046138525|0.058687482|-0.030731963|-0.027073132|-0.015530951|0.031926423|-0.051134787|0.049195584|-0.0028422505|-0.023566924|0.10011159|-0.017480511|-0.14079095|0.10969737|-0.015765736|0.046233933|-0.03919307|0.11741888|-0.066439785|0.011338107|-0.11764769|0.007468147|0.18294054|0.105078384|-0.037167545|0.022449192|0.0072701927|0.035094917|-0.067322075|-0.0485626|-0.07745591|-0.06192158|0.06868839|-0.045940183|-0.120825216|0.0468669|0.023402512|-0.03993964|0.09514255|-0.018695908|-0.09986411|0.066168934|0.06635998|-0.043966886|0.03677666|0.0074041607|0.050881192|-0.097128265|-0.06227819|0.20044695|-0.047364213|0.07340408|0.16426414|-0.009324716|0.10737522|-0.16061354|-0.033832572|0.09078107|-0.02852678|0.03849062|-0.024907889|0.088559635|-0.019606214|-0.09526064|-0.109376155|-0.041573748|0.12232329|-0.034542635|-0.13221723|0.1464998|0.16917871|-0.00011097954|-0.008504857|-0.032056686|-0.03700074|0.025027266|-0.048660405|0.03541854|0.06542944|0.02806876|0.043950737|0.045119863|-0.004248223|0.009917724|-0.10164476|0.0997945|-0.027710408|0.10632519
17;-0.19565712|-0.00258182|0.034033343|-0.029900122|-0.006340359|0.00737229|0.066424526|-0.011245925|0.01966766|0.037448913|0.025424602|0.043971688|-0.14184944|-0.0002819642|0.03166675|-0.03801021|-0.031148849|-0.10726266|-0.04747062|0.1732971|0.022993091|0.047373936|0.121812|-0.01742173|-0.076654114|0.04396814|-0.0031575242|-0.18100892|0.13698572|0.12240743|-0.042890467|-0.015370845|0.032484554|-0.018494714|-0.11086741|-0.049435623|-0.015035126|-0.0823894|0.04735412|0.02261158|0.02105379|-0.1532708|0.08911941|-0.058026616|-0.088379465|0.005327198|-0.040605307|0.109746374|-0.01957269|-0.08777629|0.011055139|-0.18007737|0.024021648|0.056792043|-0.017857373|0.016914507|0.07866984|-0.08281976|0.010189682|-0.03410997|0.06701122|-0.0156733|-0.0701075|0.026577273|0.026725335|0.10418313|-0.026305936|-0.07474308|0.0029443915|0.029238978|0.061605982|0.0012446528|-0.07847799|-0.10905792|0.051959544|0.038289905|-0.043122604|-0.06333991|-0.08224983|-0.0972073|0.014086349|-0.11250628|-0.046423037|0.09248069|-0.006266856|0.047132805|0.021772165|0.094142884|0.012854452|-0.025470916|0.08563715|0.08272773|-0.108987994|-0.07915151|0.01388505|0.25854847|0.03164453|0.022457026|-0.02168596|0.044201177
18;0.16427052|0.015208418|0.038706172|-0.10808166|-0.21181402|0.0647682|-0.13933806|0.056326088|0.009020184|0.05709627|0.016135368|0.11534231|-0.07081507|0.10220948|0.020990714|-0.10062868|0.018567892|0.007582568|-0.004961632|-0.020210095|0.08756471|0.08005003|0.010087487|-0.018148188|-0.06351148|-0.04514712|0.22648738|-0.049590223|0.044123825|-0.09703263|-0.07125704|-0.064203285|0.2038569|0.00044524466|0.029964156|-0.0536053|0.05211923|-0.059128504|0.3664365|0.019193389|-0.029110981|0.10023973|-0.20363297|-0.014162297|0.16378976|-0.0930241|-0.015471149|0.19452728|-0.22715048|-0.041820772|0.023321833|-0.024821987|-0.05918326|0.098002166|0.026985336|0.07129351|-0.22226198|0.38201025|0.013225373|0.24465905|-0.20914967|-0.1030289|0.06860416|-0.042311784|-0.09162578|0.033316225|-0.22735378|0.036233675|0.09771806|-0.049254596|-0.07757723|-0.027305698|0.061651614|-0.011619662|-0.13115768|0.0023598766|-0.023095999|0.13878442|0.028660264|0.068980806|-0.024440965|-0.03731997|-0.26814452|0.06396882|-0.3053862|0.18581903|-0.046303075|-0.16182032|0.036457524|0.07525316|-0.045622878|0.13515083|0.033947725|0.092292026|0.17253111|-0.022851864|-0.030257413|-0.006464366|-0.1618464|0.27023485
19;-0.05586071|0.036338884|-0.032926448|-0.10850417|-0.10410966|0.027292304|-0.113140106|0.0775267|-0.019002348|-0.003629266|0.06110667|0.073654525|-0.06626982|-0.03818922|-0.0801977|-0.06069954|0.08108712|-0.08007604|-0.12610725|-0.08920748|0.26019865|-0.07215312|-0.15444404|-0.14671926|0.062095422|-0.05439999|0.15110236|0.009179734|0.03210969|0.15774421|0.0072650723|-0.025762351|0.0071684713|0.10695913|0.034929845|0.16157714|-0.0006634549|-0.23944396|0.17532334|-0.068743296|-0.064163044|-0.017628621|0.075172365|-0.065179095|-0.13345818|0.074438274|0.082792886|0.17510274|-0.12816408|-0.082592085|-0.1939776|0.0030803478|0.085235186|0.008001831|-0.02599765|-0.08533489|0.07924029|-0.080985025|0.07411616|0.15807194|0.24460132|-0.08161545|-0.18793608|0.058479894|-0.12845406|0.05738308|0.0063134637|0.0062939543|0.16726641|0.008943339|0.046611264|-0.029292965|-0.081627846|-0.09259528|-0.09707225|-0.0051493538|-0.005004215|-0.13284165|0.097855285|0.05166863|0.13333367|-0.003775386|-0.06882007|0.118036725|-0.19124056|0.09563628|-0.10384033|0.10480705|0.17910174|-0.11986708|0.08110021|0.043943964|0.06430078|0.016484736|-0.0035842215|0.014597998|-0.20245326|-0.08567442|-0.09417423|-0.05408469
20;0.07063996|0.09037852|-0.15437189|0.03998487|0.0773641|0.13791218|0.054917093|0.016489554|0.09631162|0.100311264|0.08017418|-0.053566717|0.06794639|0.092334576|0.08717685|0.03882993|0.031446956|0.17517576|-0.19517632|-0.100950345|-0.008056727|0.0444169|-0.024217654|0.0032579184|-0.0059841457|0.24047092|-0.10382149|-0.1359052|-0.04438321|0.050985377|-0.043411348|0.22969809|0.16272436|-0.07602358|0.03101314|-0.0657529|0.107378125|0.017037664|0.20025381|0.09737649|-0.025380118|-0.06208124|-0.033584032|0.05533475|-0.07143424|0.13805456|0.016341565|0.00686763|-0.031347472|-0.0065777423|-0.011844014|-0.17358854|0.07967322|0.049701992|0.13505752|0.1041121|0.20881025|0.024792714|-0.02601172|0.11733951|-0.090803236|0.022379555|0.0422733|0.021639483|0.019329995|-0.07548613|0.11475409|0.049010303|-0.054502323|-0.023052355|0.03329134|-0.03693247|0.01470153|-0.08605662|-0.024844734|0.107751116|-0.19146314|0.05637921|0.05530967|0.11538865|-0.06349632|-0.15901178|0.20788093|-0.16440198|0.1383677|-0.058799256|-0.029793648|0.044821467|-0.042059816|0.08001407|-0.007851319|-0.094387375|-0.07536945|-0.046716947|0.13473603|0.09813972|0.03771221|0.047198154|0.1101593|-0.19807346
